## EBL from Khaire & Srianand 2018; Q15 Model with alpha=-1.5 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.315402e-42
 1.122019e-08     3.372023e-42
 1.258925e-08     4.805178e-42
 1.412538e-08     6.697900e-42
 1.584893e-08     9.151129e-42
 1.778279e-08     1.228133e-41
 1.995263e-08     1.622153e-41
 2.238721e-08     2.112334e-41
 2.511887e-08     2.716002e-41
 2.818382e-08     3.452945e-41
 3.162278e-08     4.345861e-41
 3.548135e-08     5.420788e-41
 3.981071e-08     6.707681e-41
 4.466837e-08     8.241089e-41
 5.011870e-08     1.006084e-40
 5.623413e-08     1.221300e-40
 6.309576e-08     1.475083e-40
 7.079456e-08     1.773592e-40
 7.943284e-08     2.123969e-40
 8.912505e-08     2.534475e-40
 1.000000e-07     3.014697e-40
 1.122019e-07     3.575729e-40
 1.258925e-07     4.230428e-40
 1.412538e-07     4.993721e-40
 1.584892e-07     5.882867e-40
 1.778279e-07     6.917922e-40
 1.995263e-07     8.122092e-40
 2.238721e-07     9.522274e-40
 2.511887e-07     1.114968e-39
 2.818382e-07     1.304042e-39
 3.162278e-07     1.523644e-39
 3.548136e-07     1.778626e-39
 3.981071e-07     2.074614e-39
 4.466837e-07     2.418133e-39
 5.011870e-07     2.816735e-39
 5.623413e-07     3.279185e-39
 6.309576e-07     3.815631e-39
 7.079456e-07     4.437826e-39
 7.943284e-07     5.159415e-39
 8.912505e-07     5.996178e-39
 1.000000e-06     6.966435e-39
 1.122019e-06     8.091391e-39
 1.258925e-06     9.395609e-39
 1.412538e-06     1.090760e-38
 1.584893e-06     1.266035e-38
 1.778279e-06     1.469212e-38
 1.995263e-06     1.704724e-38
 2.238721e-06     1.977703e-38
 2.511887e-06     2.294106e-38
 2.818382e-06     2.660824e-38
 3.162278e-06     3.085856e-38
 3.548136e-06     3.578459e-38
 3.981071e-06     4.149358e-38
 4.466837e-06     4.811000e-38
 5.011870e-06     5.577782e-38
 5.623413e-06     6.466418e-38
 6.309576e-06     7.496250e-38
 7.079456e-06     8.689686e-38
 7.943284e-06     1.007273e-37
 8.912505e-06     1.167547e-37
 1.000000e-05     1.353281e-37
 1.122019e-05     1.568518e-37
 1.258925e-05     1.817939e-37
 1.412538e-05     2.106978e-37
 1.584893e-05     2.441920e-37
 1.778279e-05     2.830057e-37
 1.995263e-05     3.279837e-37
 2.238721e-05     3.801043e-37
 2.511887e-05     4.405022e-37
 2.818382e-05     5.104908e-37
 3.162278e-05     5.915942e-37
 3.548135e-05     6.855766e-37
 3.981071e-05     7.944820e-37
 4.466837e-05     9.206818e-37
 5.011870e-05     1.066919e-36
 5.623413e-05     1.236380e-36
 6.309577e-05     1.432749e-36
 7.079457e-05     1.660295e-36
 7.943284e-05     1.923976e-36
 8.912505e-05     2.229521e-36
 1.000000e-04     2.583586e-36
 1.122018e-04     2.993866e-36
 1.258926e-04     3.468781e-36
 1.412538e-04     4.004583e-36
 1.584893e-04     4.623244e-36
 1.778279e-04     5.341608e-36
 1.995262e-04     6.177053e-36
 2.238722e-04     7.149674e-36
 2.511887e-04     8.283086e-36
 2.818383e-04     9.605154e-36
 3.162278e-04     1.114877e-35
 3.548134e-04     1.295279e-35
 3.981073e-04     1.506316e-35
 4.466837e-04     1.753424e-35
 5.011873e-04     2.043039e-35
 5.623413e-04     2.382790e-35
 6.309572e-04     2.781720e-35
 7.079460e-04     3.250565e-35
 7.943284e-04     3.802059e-35
 8.912510e-04     4.451340e-35
 1.000000e-03     5.216401e-35
 1.122018e-03     6.118637e-35
 1.258926e-03     7.183525e-35
 1.412538e-03     8.441362e-35
 1.584893e-03     9.928266e-35
 1.778279e-03     1.168728e-34
 1.995262e-03     1.376972e-34
 2.238722e-03     1.623680e-34
 2.511887e-03     1.916153e-34
 2.818383e-03     2.263110e-34
 3.162278e-03     2.674965e-34
 3.548133e-03     3.164151e-34
 3.981073e-03     3.745540e-34
 4.466837e-03     4.436895e-34
 5.011873e-03     5.259487e-34
 5.623413e-03     6.238817e-34
 6.309573e-03     7.405574e-34
 7.079460e-03     8.796941e-34
 7.943284e-03     1.045836e-33
 8.912510e-03     1.244606e-33
 1.000000e-02     1.483025e-33
 1.122019e-02     1.769927e-33
 1.258925e-02     2.116422e-33
 1.412538e-02     2.536436e-33
 1.584894e-02     3.047206e-33
 1.778279e-02     3.669816e-33
 1.995263e-02     4.429705e-33
 2.238721e-02     5.357118e-33
 2.511887e-02     6.487688e-33
 2.818385e-02     7.863018e-33
 3.162277e-02     9.531450e-33
 3.548136e-02     1.154917e-32
 3.981071e-02     1.398131e-32
 4.466837e-02     1.690387e-32
 5.011876e-02     2.040559e-32
 5.623413e-02     2.459057e-32
 6.309576e-02     2.958160e-32
 7.079456e-02     3.552365e-32
 7.943284e-02     4.258878e-32
 8.912515e-02     5.098122e-32
 1.000000e-01     6.094392e-32
 1.122019e-01     7.277432e-32
 1.258925e-01     8.639798e-32
 1.412538e-01     1.012040e-31
 1.584894e-01     1.169917e-31
 1.778279e-01     1.336337e-31
 1.995263e-01     1.510174e-31
 2.238721e-01     1.690390e-31
 2.511887e-01     1.876059e-31
 2.818385e-01     2.066381e-31
 3.162278e-01     2.260687e-31
 3.548135e-01     2.458455e-31
 3.981071e-01     2.659288e-31
 4.466837e-01     2.862922e-31
 5.011876e-01     3.069202e-31
 5.623413e-01     3.278072e-31
 6.309576e-01     3.487190e-31
 7.079456e-01     3.676018e-31
 7.943284e-01     3.867242e-31
 8.912515e-01     4.066104e-31
 1.000000e+00     4.274120e-31
 1.122019e+00     4.492471e-31
 1.258925e+00     4.722420e-31
 1.412538e+00     4.965288e-31
 1.584894e+00     5.222278e-31
 1.778279e+00     5.494206e-31
 1.995263e+00     5.781061e-31
 2.238721e+00     6.081297e-31
 2.511887e+00     6.390829e-31
 2.818385e+00     6.701613e-31
 3.162278e+00     6.999893e-31
 3.548136e+00     7.264448e-31
 3.981071e+00     7.465601e-31
 4.466837e+00     7.566545e-31
 5.011876e+00     7.528641e-31
 5.623413e+00     7.321396e-31
 6.309576e+00     6.928757e-31
 7.079456e+00     6.339285e-31
 7.943284e+00     5.653275e-31
 8.912516e+00     4.933117e-31
 1.000000e+01     4.226390e-31
 1.122019e+01     3.569657e-31
 1.258925e+01     2.983918e-31
 1.412538e+01     2.477306e-31
 1.584894e+01     2.048510e-31
 1.778279e+01     1.690975e-31
 1.995263e+01     1.395670e-31
 2.238721e+01     1.152821e-31
 2.511887e+01     9.535647e-32
 2.818385e+01     7.903475e-32
 3.162278e+01     6.564748e-32
 3.548135e+01     5.465612e-32
 3.981071e+01     4.561837e-32
 4.466837e+01     3.817165e-32
 5.011876e+01     3.202016e-32
 5.623413e+01     2.693960e-32
 6.309576e+01     2.272710e-32
 7.079456e+01     1.923423e-32
 7.943284e+01     1.633068e-32
 8.912515e+01     1.391605e-32
 1.000000e+02     1.190399e-32
 1.120000e+02     1.025323e-32
 1.250000e+02     8.911253e-33
 1.400000e+02     7.750597e-33
 1.550000e+02     6.873495e-33
 1.650000e+02     6.401457e-33
 1.750000e+02     6.004150e-33
 1.850000e+02     5.682474e-33
 1.900000e+02     5.580047e-33
 1.950000e+02     5.565560e-33
 2.000000e+02     5.736202e-33
 2.050000e+02     6.296567e-33
 2.100000e+02     7.658935e-33
 2.150000e+02     1.062254e-32
 2.180000e+02     1.374890e-32
 2.210000e+02     1.847567e-32
 2.240000e+02     2.552157e-32
 2.260000e+02     3.198938e-32
 2.270000e+02     3.589273e-32
 2.275000e+02     3.803566e-32
 2.278400e+02     3.957091e-32
 2.380000e+02     2.233074e-24
 2.500000e+02     2.294620e-24
 2.700000e+02     2.393612e-24
 2.900000e+02     2.487781e-24
 3.035000e+02     2.548883e-24
 3.037800e+02     2.550668e-24
 3.045000e+02     2.553531e-24
 3.060000e+02     2.559940e-24
 3.080000e+02     2.568798e-24
 3.100000e+02     2.577524e-24
 3.120000e+02     2.586235e-24
 3.150000e+02     2.599212e-24
 3.200000e+02     2.620655e-24
 3.250000e+02     2.641883e-24
 3.300000e+02     2.662755e-24
 3.400000e+02     2.703843e-24
 3.600000e+02     2.783017e-24
 3.800000e+02     2.858699e-24
 4.050000e+02     2.948723e-24
 4.250000e+02     3.018008e-24
 4.500000e+02     3.101060e-24
 4.650000e+02     3.150880e-24
 4.750000e+02     3.183396e-24
 4.820000e+02     3.205931e-24
 4.870000e+02     3.221835e-24
 4.910000e+02     3.234437e-24
 4.950000e+02     3.246975e-24
 4.980000e+02     3.256278e-24
 5.000000e+02     3.262412e-24
 5.020000e+02     3.269197e-24
 5.039800e+02     3.276011e-24
 5.100000e+02     4.594478e-24
 5.250000e+02     4.635369e-24
 5.600000e+02     4.725918e-24
 6.000000e+02     4.845442e-24
 6.500000e+02     5.076723e-24
 7.000000e+02     5.440262e-24
 7.500000e+02     6.031783e-24
 8.000000e+02     6.911400e-24
 8.300000e+02     7.628940e-24
 8.600000e+02     8.511423e-24
 8.800000e+02     9.200498e-24
 8.900000e+02     9.577235e-24
 8.960000e+02     9.814594e-24
 9.000000e+02     9.977225e-24
 9.030000e+02     1.010176e-23
 9.060000e+02     1.022846e-23
 9.090000e+02     1.035669e-23
