## EBL from Khaire & Srianand 2018; Q19 Model with alpha=-1.9 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.297150e-37
 1.122019e-08     1.885545e-37
 1.258925e-08     2.697529e-37
 1.412538e-08     3.783347e-37
 1.584893e-08     5.202975e-37
 1.778279e-08     7.026363e-37
 1.995263e-08     9.334049e-37
 2.238721e-08     1.221820e-36
 2.511887e-08     1.578422e-36
 2.818382e-08     2.015257e-36
 3.162278e-08     2.546129e-36
 3.548135e-08     3.186864e-36
 3.981071e-08     3.955654e-36
 4.466837e-08     4.873463e-36
 5.011870e-08     5.964446e-36
 5.623413e-08     7.256535e-36
 6.309576e-08     8.781994e-36
 7.079456e-08     1.057814e-35
 7.943284e-08     1.268822e-35
 8.912505e-08     1.516226e-35
 1.000000e-07     1.805831e-35
 1.122019e-07     2.144354e-35
 1.258925e-07     2.539578e-35
 1.412538e-07     3.000541e-35
 1.584892e-07     3.537689e-35
 1.778279e-07     4.163165e-35
 1.995263e-07     4.891017e-35
 2.238721e-07     5.737528e-35
 2.511887e-07     6.721590e-35
 2.818382e-07     7.865073e-35
 3.162278e-07     9.193360e-35
 3.548136e-07     1.073583e-34
 3.981071e-07     1.252655e-34
 4.466837e-07     1.460501e-34
 5.011870e-07     1.701693e-34
 5.623413e-07     1.981539e-34
 6.309576e-07     2.306181e-34
 7.079456e-07     2.682736e-34
 7.943284e-07     3.119465e-34
 8.912505e-07     3.625920e-34
 1.000000e-06     4.213194e-34
 1.122019e-06     4.894124e-34
 1.258925e-06     5.683583e-34
 1.412538e-06     6.598834e-34
 1.584893e-06     7.659840e-34
 1.778279e-06     8.889770e-34
 1.995263e-06     1.031546e-33
 2.238721e-06     1.196800e-33
 2.511887e-06     1.388343e-33
 2.818382e-06     1.610347e-33
 3.162278e-06     1.867657e-33
 3.548136e-06     2.165876e-33
 3.981071e-06     2.511498e-33
 4.466837e-06     2.912059e-33
 5.011870e-06     3.376276e-33
 5.623413e-06     3.914266e-33
 6.309576e-06     4.537740e-33
 7.079456e-06     5.260267e-33
 7.943284e-06     6.097590e-33
 8.912505e-06     7.067921e-33
 1.000000e-05     8.192400e-33
 1.122019e-05     9.495498e-33
 1.258925e-05     1.100556e-32
 1.412538e-05     1.275548e-32
 1.584893e-05     1.478331e-32
 1.778279e-05     1.713321e-32
 1.995263e-05     1.985632e-32
 2.238721e-05     2.301186e-32
 2.511887e-05     2.666855e-32
 2.818382e-05     3.090590e-32
 3.162278e-05     3.581618e-32
 3.548135e-05     4.150617e-32
 3.981071e-05     4.809970e-32
 4.466837e-05     5.574028e-32
 5.011870e-05     6.459402e-32
 5.623413e-05     7.485375e-32
 6.309577e-05     8.674265e-32
 7.079457e-05     1.005192e-31
 7.943284e-05     1.164833e-31
 8.912505e-05     1.349822e-31
 1.000000e-04     1.564186e-31
 1.122018e-04     1.812585e-31
 1.258926e-04     2.100061e-31
 1.412538e-04     2.426672e-31
 1.584893e-04     2.802597e-31
 1.778279e-04     3.237891e-31
 1.995262e-04     3.743411e-31
 2.238722e-04     4.331488e-31
 2.511887e-04     5.016441e-31
 2.818383e-04     5.815076e-31
 3.162278e-04     6.747191e-31
 3.548134e-04     7.836148e-31
 3.981073e-04     9.109566e-31
 4.466837e-04     1.060010e-30
 5.011873e-04     1.234641e-30
 5.623413e-04     1.439430e-30
 6.309572e-04     1.679806e-30
 7.079460e-04     1.962213e-30
 7.943284e-04     2.294290e-30
 8.912510e-04     2.685119e-30
 1.000000e-03     3.145490e-30
 1.122018e-03     3.688233e-30
 1.258926e-03     4.328621e-30
 1.412538e-03     5.084812e-30
 1.584893e-03     5.978449e-30
 1.778279e-03     7.035323e-30
 1.995262e-03     8.286173e-30
 2.238722e-03     9.767662e-30
 2.511887e-03     1.152351e-29
 2.818383e-03     1.360593e-29
 3.162278e-03     1.607725e-29
 3.548133e-03     1.901192e-29
 3.981073e-03     2.249892e-29
 4.466837e-03     2.664455e-29
 5.011873e-03     3.157605e-29
 5.623413e-03     3.744579e-29
 6.309573e-03     4.443683e-29
 7.079460e-03     5.277003e-29
 7.943284e-03     6.271365e-29
 8.912510e-03     7.459648e-29
 1.000000e-02     8.882481e-29
 1.122019e-02     1.059039e-28
 1.258925e-02     1.264632e-28
 1.412538e-02     1.512860e-28
 1.584894e-02     1.813387e-28
 1.778279e-02     2.178033e-28
 1.995263e-02     2.621103e-28
 2.238721e-02     3.159688e-28
 2.511887e-02     3.814064e-28
 2.818385e-02     4.608072e-28
 3.162277e-02     5.569612e-28
 3.548136e-02     6.731322e-28
 3.981071e-02     8.131262e-28
 4.466837e-02     9.814030e-28
 5.011876e-02     1.183189e-27
 5.623413e-02     1.424631e-27
 6.309576e-02     1.712996e-27
 7.079456e-02     2.056870e-27
 7.943284e-02     2.466458e-27
 8.912515e-02     2.953881e-27
 1.000000e-01     3.533569e-27
 1.122019e-01     4.223281e-27
 1.258925e-01     5.022321e-27
 1.412538e-01     5.906618e-27
 1.584894e-01     6.860500e-27
 1.778279e-01     7.872553e-27
 1.995263e-01     8.933617e-27
 2.238721e-01     1.003583e-26
 2.511887e-01     1.117236e-26
 2.818385e-01     1.233726e-26
 3.162278e-01     1.352545e-26
 3.548135e-01     1.473274e-26
 3.981071e-01     1.595576e-26
 4.466837e-01     1.719193e-26
 5.011876e-01     1.843939e-26
 5.623413e-01     1.969689e-26
 6.309576e-01     2.096360e-26
 7.079456e-01     2.223937e-26
 7.943284e-01     2.352433e-26
 8.912515e-01     2.481881e-26
 1.000000e+00     2.612328e-26
 1.122019e+00     2.743839e-26
 1.258925e+00     2.876465e-26
 1.412538e+00     3.010260e-26
 1.584894e+00     3.145250e-26
 1.778279e+00     3.281439e-26
 1.995263e+00     3.418786e-26
 2.238721e+00     3.557191e-26
 2.511887e+00     3.696475e-26
 2.818385e+00     3.836344e-26
 3.162278e+00     3.976340e-26
 3.548136e+00     4.115778e-26
 3.981071e+00     4.253638e-26
 4.466837e+00     4.388442e-26
 5.011876e+00     4.518050e-26
 5.623413e+00     4.639448e-26
 6.309576e+00     4.745298e-26
 7.079456e+00     4.793684e-26
 7.943284e+00     4.806850e-26
 8.912516e+00     4.807913e-26
 1.000000e+01     4.819381e-26
 1.122019e+01     4.825942e-26
 1.258925e+01     4.842557e-26
 1.412538e+01     4.874216e-26
 1.584894e+01     4.873318e-26
 1.778279e+01     4.884794e-26
 1.995263e+01     4.869129e-26
 2.238721e+01     4.790651e-26
 2.511887e+01     4.657400e-26
 2.818385e+01     4.460719e-26
 3.162278e+01     4.220753e-26
 3.548135e+01     3.935309e-26
 3.981071e+01     3.625722e-26
 4.466837e+01     3.305010e-26
 5.011876e+01     2.989835e-26
 5.623413e+01     2.692200e-26
 6.309576e+01     2.419397e-26
 7.079456e+01     2.178977e-26
 7.943284e+01     1.971630e-26
 8.912515e+01     1.795272e-26
 1.000000e+02     1.646727e-26
 1.120000e+02     1.524606e-26
 1.250000e+02     1.427283e-26
 1.400000e+02     1.345849e-26
 1.550000e+02     1.287636e-26
