## for UVB models (QSO SED 1.8)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 0.00      4.058e-14      1.869e-14      6.262e-16      1.507e-13      1.494e-13      1.248e-14
 0.10      6.310e-14      3.041e-14      9.453e-16      2.381e-13      2.383e-13      1.857e-14
 0.20      9.353e-14      4.695e-14      1.378e-15      3.575e-13      3.640e-13      2.670e-14
 0.30      1.333e-13      6.919e-14      1.947e-15      5.141e-13      5.338e-13      3.721e-14
 0.40      1.836e-13      9.776e-14      2.670e-15      7.122e-13      7.543e-13      5.037e-14
 0.50      2.452e-13      1.332e-13      3.560e-15      9.542e-13      1.029e-12      6.636e-14
 0.60      3.182e-13      1.755e-13      4.618e-15      1.240e-12      1.361e-12      8.518e-14
 0.70      4.018e-13      2.241e-13      5.835e-15      1.568e-12      1.747e-12      1.066e-13
 0.80      4.946e-13      2.781e-13      7.184e-15      1.932e-12      2.181e-12      1.302e-13
 0.90      5.948e-13      3.359e-13      8.616e-15      2.323e-12      2.649e-12      1.552e-13
 1.00      6.991e-13      3.957e-13      1.006e-14      2.729e-12      3.138e-12      1.805e-13
 1.10      8.030e-13      4.556e-13      1.144e-14      3.133e-12      3.630e-12      2.047e-13
 1.20      9.020e-13      5.124e-13      1.264e-14      3.517e-12      4.101e-12      2.263e-13
 1.30      9.920e-13      5.644e-13      1.361e-14      3.868e-12      4.533e-12      2.441e-13
 1.40      1.070e-12      6.096e-13      1.437e-14      4.174e-12      4.912e-12      2.581e-13
 1.50      1.134e-12      6.467e-13      1.487e-14      4.423e-12      5.224e-12      2.676e-13
 1.60      1.181e-12      6.739e-13      1.509e-14      4.605e-12      5.455e-12      2.723e-13
 1.70      1.209e-12      6.911e-13      1.503e-14      4.718e-12      5.599e-12      2.720e-13
 1.80      1.220e-12      6.979e-13      1.471e-14      4.762e-12      5.657e-12      2.670e-13
