# Gamma-ray optical depth for source at z=2.000 (for KS18 EBL Q18 model with CMB)
# column1: Observed photon energy in GeV  & column2: Gamma-ray optical depth
    0.0100000   6.8718926e-06
    0.0112202   7.6300087e-06
    0.0125893   8.4350264e-06
    0.0141254   9.2864051e-06
    0.0158489   1.0183481e-05
    0.0177828   1.1125492e-05
    0.0199526   1.2111621e-05
    0.0223872   1.3141033e-05
    0.0251189   1.4212894e-05
    0.0281838   1.5326425e-05
    0.0316228   1.6480902e-05
    0.0354813   1.7675709e-05
    0.0398107   1.8910345e-05
    0.0446684   2.0184438e-05
    0.0501187   2.1497778e-05
    0.0562341   2.2850290e-05
    0.0630957   2.4242015e-05
    0.0707946   2.5673238e-05
    0.0794328   2.7144787e-05
    0.0891251   2.8658541e-05
     0.100000   3.0218081e-05
     0.112202   3.1829469e-05
     0.125893   3.3502123e-05
     0.141254   3.5249801e-05
     0.158489   3.7091664e-05
     0.177828   3.9053381e-05
     0.199526   4.1168374e-05
     0.223872   4.3479007e-05
     0.251189   4.6037841e-05
     0.281838   4.8908656e-05
     0.316228   5.2167108e-05
     0.354813   5.5900793e-05
     0.398107   6.0209515e-05
     0.446684   6.5205389e-05
     0.501187   7.1012726e-05
     0.562341   7.7766556e-05
     0.630957   8.5614289e-05
     0.707946   9.4717233e-05
     0.794328   0.00010525475
     0.891251   0.00011743110
      1.00000   0.00013148136
      1.12202   0.00014767544
      1.25893   0.00016631890
      1.41254   0.00018775065
      1.58489   0.00021234208
      1.77828   0.00024059283
      1.99526   0.00027366409
      2.23872   0.00031379749
      2.51189   0.00036486482
      2.81838   0.00043272623
      3.16228   0.00052365641
      3.54813   0.00064396963
      3.98107   0.00080004918
      4.46684   0.00099872444
      5.01187    0.0012475591
      5.62341    0.0015558263
      6.30957    0.0019342015
      7.07946    0.0023973342
      7.94328    0.0029853431
      8.91251    0.0038376899
      10.0000    0.0052946608
      11.2202    0.0079912039
      12.5893     0.012917828
      14.1254     0.021399290
      15.8489     0.035013867
      17.7828     0.055450842
      19.9526     0.084352583
      22.3872      0.12324287
      25.1189      0.17352180
      28.1838      0.23648243
      31.6228      0.31341988
      35.4813      0.40606935
      39.8107      0.51708209
      44.6684      0.65013175
      50.1187      0.80984147
      56.2341       1.0015672
      63.0957       1.2310877
      70.7946       1.5042927
      79.4328       1.8269247
      89.1251       2.2043560
      100.000       2.6412194
      112.202       3.1410367
      125.893       3.7059385
      141.254       4.3365159
      158.489       5.0314412
      177.828       5.7870254
      199.526       6.5968549
      223.872       7.4514989
      251.189       8.3387568
      281.838       9.2440255
      316.228       10.150901
      354.814       11.041986
      398.107       11.899917
      446.684       12.709005
      501.188       13.457660
      562.341       14.141902
      630.958       14.768898
      707.946       15.360073
      794.328       15.945746
      891.252       16.558386
      1000.00       17.230682
      1122.02       17.996657
      1258.93       18.891080
      1412.54       19.948626
      1584.89       21.205145
      1778.28       22.702326
      1995.26       24.498347
      2238.72       26.686174
      2511.89       29.421964
      2818.38       32.960914
      3162.28       37.694884
      3548.14       44.187934
      3981.07       53.204598
      4466.84       65.724908
      5011.88       82.935736
      5623.41       106.19166
      6309.58       136.93427
      7079.46       176.56776
      7943.28       226.42089
      8912.52       288.24669
      10000.0       365.77862
      11220.2       469.68976
      12589.3       629.71013
      14125.4       919.16847
      15848.9       1496.9322
      17782.8       2668.0935
      19952.6       4957.4395
      22387.2       9180.6537
      25118.9       16492.483
      28183.8       28389.751
      31622.8       46655.665
      35481.4       73244.818
      39810.7       110118.37
      44668.4       159058.32
      50118.8       221480.33
      56234.1       298277.84
      63095.8       389716.84
      70794.6       495379.41
      79432.8       614179.02
      89125.2       744414.02
      100000.       883871.28
